Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
62,Friday Jun 7,boxscore,MIN,@,DET,W,6,3,,42-20,1,up10.5,Harper,Jimenez,Parker,3:24,N,21551,++,
63,Saturday Jun 8,boxscore,MIN,@,DET,L,3,9,,42-21,1,up 9.5,Ramirez,Gibson,,3:14,D,26818,-,
64,Sunday Jun 9,boxscore,MIN,@,DET,W,12,2,,43-21,1,up10.5,Odorizzi,Carpenter,,3:20,D,20127,+,
65,Tuesday Jun 11,boxscore,MIN,,SEA,W,6,5,,44-21,1,up10.5,Magill,Brennan,May,3:02,N,23046,++,
66,Wednesday Jun 12,boxscore,MIN,,SEA,L,6,9,10,44-22,1,up10.5,Bass,Duffey,Elias,3:50,N,25909,-,
67,Thursday Jun 13,boxscore,MIN,,SEA,W,10,5,,45-22,1,up11.0,Harper,Brennan,,3:49,D,31912,+,
68,Friday Jun 14,boxscore,MIN,,KCR,W,2,0,,46-22,1,up11.0,Gibson,Diekman,Rogers,2:21,N,38898,++,
69,Saturday Jun 15,boxscore,MIN,,KCR,W,5,4,,47-22,1,up11.0,Odorizzi,Sparkman,Rogers,3:09,N,39267,+++,
70,Sunday Jun 16,boxscore,MIN,,KCR,L,6,8,,47-23,1,up10.0,Lopez,Perez,Kennedy,4:00,D,38886,-,
71,Monday Jun 17,boxscore,MIN,,BOS,L,0,2,,47-24,1,up10.0,Porcello,Berrios,Brasier,2:43,N,27970,--,
72,Tuesday Jun 18,boxscore,MIN,,BOS,W-wo,4,3,17,48-24,1,up10.0,Littell,Johnson,,5:45,N,25741,+,
73,Wednesday Jun 19,boxscore,MIN,,BOS,L,4,9,,48-25,1,up 9.0,Rodriguez,Gibson,,3:22,N,31835,-,
74,Thursday Jun 20,boxscore,MIN,@,KCR,L,1,4,,48-26,1,up 9.0,Sparkman,Odorizzi,Kennedy,2:37,N,22683,--,
75,Friday Jun 21,boxscore,MIN,@,KCR,W,8,7,,49-26,1,up 9.0,Harper,Diekman,Rogers,3:27,N,27418,+,
76,Saturday Jun 22,boxscore,MIN,@,KCR,W,5,3,10,50-26,1,up 9.0,May,Peralta,Parker,2:56,D,28504,++,
77,Sunday Jun 23,boxscore,MIN,@,KCR,L,1,6,,50-27,1,up 8.0,Bailey,Pineda,McCarthy,3:09,D,21257,-,
78,Tuesday Jun 25,boxscore,MIN,,TBR,W,9,4,,51-27,1,up 8.5,Gibson,Snell,,3:03,N,31963,+,
79,Wednesday Jun 26,boxscore,MIN,,TBR,W,6,4,,52-27,1,up 8.5,May,Morton,Rogers,2:57,N,31650,++,
80,Thursday Jun 27,boxscore,MIN,,TBR,L,2,5,18,52-28,1,up 8.0,Yarbrough,Harper,,5:42,D,31317,-,
81,Friday Jun 28,boxscore,MIN,@,CHW,L,4,6,,52-29,1,up 8.0,Detwiler,Berrios,Colome,2:56,N,28218,--,
82,Saturday Jun 29,boxscore,MIN,@,CHW,W,10,3,,53-29,1,up 9.0,Pineda,Nova,,3:14,D,27908,+,
83,Sunday Jun 30,boxscore,MIN,@,CHW,L,3,4,,53-30,1,up 8.0,Giolito,Thorpe,Colome,2:47,D,27244,-,
84,Tuesday Jul 2,boxscore,MIN,@,OAK,L,6,8,,53-31,1,up 7.0,Mengden,Odorizzi,Hendriks,3:20,N,13926,--,
85,Wednesday Jul 3,boxscore,MIN,@,OAK,W,4,3,12,54-31,1,up 7.0,Parker,Treinen,Rogers,4:40,N,31570,+,
86,Thursday Jul 4,boxscore,MIN,@,OAK,L,2,7,,54-32,1,up 6.0,Wang,Berrios,,3:20,D,20836,-,
87,Friday Jul 5,boxscore,MIN,,TEX,W,15,6,,55-32,1,up 6.5,Perez,Sampson,,3:02,N,38073,+,
88,Saturday Jul 6,boxscore,MIN,,TEX,W,7,4,,56-32,1,up 6.5,Pineda,Chavez,Rogers,3:12,D,36969,++,
89,Sunday Jul 7,boxscore,MIN,,TEX,L,1,4,11,56-33,1,up 5.5,Kelley,Mejia,,4:15,D,35495,-,
90,Friday Jul 12,boxscore,MIN,@,CLE,W,5,3,,57-33,1,up 6.5,Littell,Perez,Rogers,3:44,N,30857,+,
91,Saturday Jul 13,boxscore,MIN,@,CLE,W,6,2,,58-33,1,up 7.5,Odorizzi,Bauer,,3:24,N,32277,++,
92,Sunday Jul 14,boxscore,MIN,@,CLE,L,3,4,,58-34,1,up 6.5,Cimber,May,Hand,3:00,D,25194,-,
93,Tuesday Jul 16,boxscore,MIN,,NYM,L,2,3,,58-35,1,up 5.0,Avilan,Pineda,Diaz,3:13,N,28712,--,
94,Wednesday Jul 17,boxscore,MIN,,NYM,L,4,14,,58-36,1,up 4.0,Vargas,May,,3:16,D,35124,---,
95,Thursday Jul 18,boxscore,MIN,,OAK,W,6,3,,59-36,1,up 4.0,Gibson,Petit,Rogers,3:18,N,28432,+,
96,Friday Jul 19,boxscore,MIN,,OAK,L,3,5,,59-37,1,up 3.0,Bassitt,Harper,Hendriks,3:21,N,31082,-,
97,Saturday Jul 20,boxscore,MIN,,OAK,L,4,5,,59-38,1,up 3.0,Treinen,Rogers,Hendriks,3:30,N,32270,--,
98,Sunday Jul 21,boxscore,MIN,,OAK,W-wo,7,6,,60-38,1,up 3.0,Stewart,Hendriks,,4:02,D,34070,+,
99,Monday Jul 22,boxscore,MIN,,NYY,W,8,6,,61-38,1,up 3.0,Thorpe,Sabathia,Rogers,3:08,N,34627,++,
100,Tuesday Jul 23,boxscore,MIN,,NYY,L,12,14,10,61-39,1,up 3.0,Chapman,Stewart,Green,5:03,N,32470,-,
